pincode,Districtname,statename,infected,L1-High-Infection-Danger,L2-Moderate-Infection-Danger
135003,Yamuna Nagar,HARYANA,0,0,0
135004,Yamuna Nagar,HARYANA,0,0,0
135021,Yamuna Nagar,HARYANA,0,0,0
135101,Yamuna Nagar,HARYANA,0,0,0
135102,Yamuna Nagar,HARYANA,0,0,0
135103,Yamuna Nagar,HARYANA,0,0,0
135106,Yamuna Nagar,HARYANA,0,0,0
135133,Yamuna Nagar,HARYANA,0,0,0
136020,Kaithal,HARYANA,0,0,0
136021,Kaithal,HARYANA,0,0,0
136026,Kaithal,HARYANA,0,0,0
136027,Kaithal,HARYANA,0,0,0
136030,Kurukshetra,HARYANA,0,0,0
136033,Kaithal,HARYANA,0,0,0
136034,Kaithal,HARYANA,0,0,0
136035,Kaithal,HARYANA,0,0,0
136038,Kurukshetra,HARYANA,0,0,0
136042,Kaithal,HARYANA,0,0,0
136043,Kaithal,HARYANA,0,0,0
136044,Kaithal,HARYANA,0,0,0
136117,Kaithal,HARYANA,0,0,0
136118,Kurukshetra,HARYANA,0,0,0
136119,Kurukshetra,HARYANA,0,0,0
136128,Kurukshetra,HARYANA,0,0,0
136129,Kurukshetra,HARYANA,0,0,0
136130,Kurukshetra,HARYANA,0,0,0
136131,Kurukshetra,HARYANA,0,0,0
136132,Kurukshetra,HARYANA,0,0,0
136135,Kurukshetra,HARYANA,0,0,0
136136,Kurukshetra,HARYANA,0,0,0
136156,Kurukshetra,HARYANA,0,0,0
140001,Ropar,PUNJAB,0,0,0
140101,Rupnagar,PUNJAB,0,0,0
140102,Ropar,PUNJAB,0,0,0
140103,Mohali,PUNJAB,0,0,0
140108,Rupnagar,PUNJAB,0,0,0
140109,Mohali,PUNJAB,0,0,0
140110,Mohali,PUNJAB,0,0,0
140111,Rupnagar,PUNJAB,0,0,0
140112,Rupnagar,PUNJAB,0,0,0
140113,Rupnagar,PUNJAB,0,0,0
140114,Rupnagar,PUNJAB,0,0,0
140115,Rupnagar,PUNJAB,0,0,0
140116,Rupnagar,PUNJAB,0,0,0
140117,Rupnagar,PUNJAB,0,0,0
140118,Ropar,PUNJAB,0,0,0
140119,Rupnagar,PUNJAB,0,0,0
140123,Rupnagar,PUNJAB,0,0,0
140124,Rupnagar,PUNJAB,0,0,0
140125,Rupnagar,PUNJAB,0,0,0
140126,Rupnagar,PUNJAB,0,0,0
140133,Rupnagar,PUNJAB,0,0,0
140201,Mohali,PUNJAB,0,0,0
140301,Rupnagar,PUNJAB,0,0,0
140306,Rupnagar,PUNJAB,0,0,0
140307,Rupnagar,PUNJAB,0,0,0
140308,Rupnagar,PUNJAB,0,0,0
140401,Patiala,PUNJAB,0,0,0
140402,Patiala,PUNJAB,0,0,0
140405,Fatehgarh Sahib,PUNJAB,0,0,0
140406,Patiala,PUNJAB,0,0,0
140407,Fatehgarh Sahib,PUNJAB,0,0,0
140412,Fatehgarh Sahib,PUNJAB,0,0,0
